summary,address,dtstart,dtend,lat,long
Movie Matinee: Spooky Buddies, Spanish Springs Library,2011-10-18 04:00:00,2011-10-18 05:00:00,39.62117699,-119.7249484
Craft Program , South Valleys Library,2011-10-18 04:00:00,2011-10-18 05:00:00,39.404466,-119.759088
Family Storytime, Downtown Reno Library,2011-10-18 04:00:00,2011-10-18 05:00:00,39.5223803,-119.8102013
It’s Your Estate/Money Seminars, South Valleys Library,2011-10-18 02:00:00,2011-10-18 03:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Downtown Reno Library,2011-10-18 11:00:00,2011-10-18 12:00:00,39.5223803,-119.8102013
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-18 11:00:00,2011-10-18 12:00:00,39.46803798,-119.8050928
Preschool Storytime, South Valleys Library,2011-10-19 11:00:00,2011-10-19 12:00:00,39.404466,-119.759088
Adult Book Club, Northwest Reno Library,2011-10-19 05:00:00,2011-10-19 06:00:00,39.53816315,-119.8851085
Family Storytime, North Valleys Library,2011-10-19 11:00:00,2011-10-19 12:00:00,39.605111,-119.840187
Toddler Time, Sparks Library,2011-10-19 10:00:00,2011-10-19 11:00:00,39.544131,-119.758756
Lifescapes, Northwest Reno Library,2011-10-19 01:00:00,2011-10-19 02:00:00,39.53816315,-119.8851085
It’s Your Estate/Money Seminars, North Valleys Library,2011-10-19 02:00:00,2011-10-19 03:00:00,39.605111,-119.840187
Storytime, Incline Village Library,2011-10-19 04:00:00,2011-10-19 05:00:00,39.250456,-119.957373
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-19 04:00:00,2011-10-19 05:00:00,39.46803798,-119.8050928
SO Very Literary Book Club, South Valleys Library,2011-10-20 01:00:00,2011-10-20 02:00:00,39.404466,-119.759088
Wee Read Storytime, Spanish Springs Library,2011-10-20 10:00:00,2011-10-20 11:00:00,39.62117699,-119.7249484
Preschool Storytime, Northwest Reno Library,2011-10-20 10:00:00,2011-10-20 11:00:00,39.53816315,-119.8851085
Preschool Storytime, Northwest Reno Library,2011-10-20 11:00:00,2011-10-20 12:00:00,39.53816315,-119.8851085
Family Storytime, Sparks Library,2011-10-20 10:00:00,2011-10-20 11:00:00,39.544131,-119.758756
Toddler Time, Sierra View Library,2011-10-20 10:00:00,2011-10-20 11:00:00,39.4858181,-119.79563
Toddler Time, South Valleys Library,2011-10-20 10:00:00,2011-10-20 11:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Northwest Reno Library,2011-10-20 02:00:00,2011-10-20 03:00:00,39.53816315,-119.8851085
It’s Your Estate/Money Seminars, Sparks Library,2011-10-20 11:00:00,2011-10-20 12:00:00,39.544131,-119.758756
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-20 11:00:00,2011-10-20 12:00:00,39.46803798,-119.8050928
Bridge Group, South Valleys Library,2011-10-21 01:00:00,2011-10-21 02:00:00,39.404466,-119.759088
Toddler Time, Northwest Reno Library,2011-10-21 10:00:00,2011-10-21 11:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-10-21 11:00:00,2011-10-21 12:00:00,39.53816315,-119.8851085
Toddler Time, South Valleys Library,2011-10-21 10:00:00,2011-10-21 11:00:00,39.404466,-119.759088
Lifescapes, Incline Village Library,2011-10-21 02:00:00,2011-10-21 03:00:00,39.250456,-119.957373
Video Game Night, Sparks Library,2011-10-21 02:00:00,2011-10-21 03:00:00,39.544131,-119.758756
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-21 02:00:00,2011-10-21 03:00:00,39.46803798,-119.8050928
